  instanceFile;      delaunay; delImprd; delLSFlips; bestTriang; bestTriangImprd; bestTriangFlips;  time; comment
./uniform_038_21.in; 1.329688; 1.308816;          2;   1.329688;        1.308816;               2;  3892; grasp
./uniform_038_22.in; 1.359499; 1.303653;          4;   1.359499;        1.303653;               4;  3710; grasp
./uniform_038_23.in; 1.395757; 1.357938;          2;   2.069881;        1.337010;               5;  4128; grasp
./uniform_038_24.in; 1.355310; 1.303505;          1;   1.355310;        1.303505;               1;  3558; grasp
./uniform_038_25.in; 1.344581; 1.309453;          2;   1.344581;        1.309453;               2;  3649; grasp
./uniform_038_26.in; 1.300650; 1.257124;          1;   1.300650;        1.257124;               1;  4059; grasp
./uniform_038_27.in; 1.325737; 1.318950;          2;   1.325737;        1.318950;               2;  3869; grasp
./uniform_038_28.in; 1.273078; 1.264473;          1;   1.273078;        1.264473;               1;  3515; grasp
./uniform_038_29.in; 1.287288; 1.287288;          0;   1.287288;        1.287288;               0;  3836; grasp
./uniform_039_00.in; 1.340022; 1.340022;          0;   1.340022;        1.340022;               0;  3920; grasp
./uniform_039_01.in; 1.255318; 1.254596;          1;   1.255318;        1.254596;               1;  3891; grasp
